Date,Last Price,Open Interest,SMAVG (15)
6/23/2023,71.85,19246,17234
6/22/2023,72.07,18566,17106
6/21/2023,74.16,17863,17041
6/20/2023,73.05,17147,21967
6/19/2023,73.2,17377,26767
6/16/2023,73.77,17440,31301
6/15/2023,72.95,17253,35832
6/14/2023,70.71,17211,40221
6/13/2023,71.66,16683,44706
6/12/2023,69.55,16394,49216
6/9/2023,71.81,16648,53752
6/8/2023,72.41,16475,58278
6/7/2023,73.3,16471,62850
6/6/2023,72.6,16676,67475
6/5/2023,72.96,17066,71937
6/2/2023,72.89,17323,76442
6/1/2023,71.48,17589,80903
5/31/2023,70.2,91754,85310
5/30/2023,71.16,89140,84816
5/29/2023,74.03,85391,84538
5/26/2023,73.8,85410,84502
5/25/2023,72.91,83081,84320
5/24/2023,74.78,84489,84165
5/23/2023,73.53,84326,83796
5/22/2023,72.73,84447,83440
5/19/2023,72.51,84526,82994
5/18/2023,73.18,85067,78310
5/17/2023,73.82,85833,73572
5/16/2023,71.89,83615,68773
5/15/2023,72.14,84642,64118
5/12/2023,71.11,84242,59400
5/11/2023,71.94,83686,54683
5/10/2023,73.42,84338,49984
5/9/2023,74.12,84984,45255
5/8/2023,73.55,84838,40465
5/5/2023,72.01,82681,35691
5/4/2023,69.75,80767,31063
5/3/2023,70.02,78955,26563
5/2/2023,72.12,78980,22178
5/1/2023,75.08,77753,17787
4/28/2023,76.33,14269,13467
4/27/2023,74.61,14003,13377
4/26/2023,74.57,13837,13325
4/25/2023,76.51,13791,13238
4/24/2023,78.43,13880,13171
4/21/2023,77.51,13478,13119
4/20/2023,76.61,13208,13055
4/19/2023,78.17,13408,13025
4/18/2023,79.48,13123,12963
4/17/2023,79.32,13225,12916
4/14/2023,80.27,13274,12875
4/13/2023,80.04,13256,12844
4/12/2023,80.54,13190,12824
4/11/2023,79.29,13112,12809
4/10/2023,78.21,12947,12823
4/6/2023,78.78,12925,12852
4/5/2023,78.91,13222,12862
4/4/2023,78.83,12525,12848
4/3/2023,78.92,12798,12878
3/31/2023,76.48,13093,12878
3/30/2023,75.49,12520,12854
3/29/2023,74.73,12760,12817
3/28/2023,75.21,12479,12776
3/27/2023,75.04,12419,12745
3/24/2023,72.3,12612,12723
3/23/2023,72.95,12808,12671
3/22/2023,73.48,12952,12607
3/21/2023,72.46,12964,12518
3/20/2023,71.58,13328,13378
3/17/2023,70.8,13375,14168
3/16/2023,71.8,13075,14950
3/15/2023,70.91,13014,15740
3/14/2023,73.84,12979,16547
3/13/2023,76.46,12793,17344
3/10/2023,77.88,12735,18163
3/9/2023,77.1,11967,18990
3/8/2023,78.06,12138,19866
3/7/2023,78.61,12018,20719
3/6/2023,80.89,12090,21544
3/3/2023,80.49,11831,22346
3/2/2023,79.37,11848,23184
3/1/2023,78.93,11608,24066
2/28/2023,78.59,25875,24986
2/27/2023,77.79,25170,24951
2/24/2023,78.63,25102,24989
2/23/2023,78.13,24936,24970
2/22/2023,77.12,25112,24970
2/21/2023,78.69,24942,24897
2/20/2023,79.57,25071,25843
2/17/2023,78.55,25147,26805
2/16/2023,80.23,25098,27770
2/15/2023,80.35,24940,28780
2/14/2023,80.55,24384,29800
2/13/2023,81.04,24122,30835
2/10/2023,80.64,24409,31892
2/9/2023,79.18,25076,32941
2/8/2023,79.76,25409,33908
2/7/2023,78.77,25350,34808
2/6/2023,76.82,25740,35708
2/3/2023,75.9,24809,36510
2/2/2023,78.11,24935,37357
2/1/2023,78.27,24021,38103
1/31/2023,80.77,39132,38875
1/30/2023,79.58,39497,38620
1/27/2023,81.02,39630,38323
1/26/2023,82.31,40248,37891
1/25/2023,81.76,40237,37392
1/24/2023,82.02,39914,36870
1/23/2023,83.52,39971,36355
1/20/2023,82.96,40142,35842
1/19/2023,81.92,39587,35318
1/18/2023,81.11,38908,34374
1/17/2023,81.46,38848,33458
1/16/2023,80.63,37764,32551
1/13/2023,81.32,37519,31723
1/12/2023,80.33,36122,30908
1/11/2023,79.4,35601,30160
1/10/2023,77.59,35314,29452
1/9/2023,77.62,35040,28817
1/6/2023,76.44,33144,28200
1/5/2023,76.25,32766,27721
1/4/2023,75.65,32410,27268
1/3/2023,78.2,32192,26841
1/2/2023,80.72,32277,26424
12/30/2022,80.72,32277,26002
12/29/2022,79.4,25425,25597
12/28/2022,80.28,25175,25668
12/27/2022,80.8,25239,25773
12/23/2022,80.53,25351,25873
12/22/2022,77.91,25287,25957
12/21/2022,78.8,24895,26048
12/20/2022,77.55,24988,35257
12/19/2022,76.95,25792,44374
12/16/2022,76.71,25782,53319
12/15/2022,77.83,25952,62310
12/14/2022,79.46,25972,71333
12/13/2022,78.25,26009,80516
12/12/2022,76.98,25932,89783
12/9/2022,75.67,25948,99132
12/8/2022,75.64,26210,108563
12/7/2022,76.39,26484,118097
12/6/2022,78.09,26758,127581
12/5/2022,80.51,26734,137025
12/2/2022,82.51,26613,146491
12/1/2022,82.83,26654,156133
11/30/2022,83.52,163031,165702
11/29/2022,81.11,161736,166192
11/28/2022,80.49,159977,166905
11/25/2022,80,160636,167656
11/24/2022,81.3,161294,168450
11/23/2022,80.97,163729,169316
11/22/2022,82.06,165010,169991
11/21/2022,81.76,166160,170525
11/18/2022,81.14,167418,161038
11/17/2022,81.79,169214,151504
11/16/2022,83.38,168757,141886
11/15/2022,84.74,168419,132313
11/14/2022,83.34,168713,122749
11/11/2022,84.66,171243,113176
11/10/2022,82.83,170197,103426
11/9/2022,82.57,170371,93743
11/8/2022,84.84,172438,83965
11/7/2022,86.46,171237,73967
11/4/2022,86.73,172550,64043
11/3/2022,83.91,174281,54043
11/2/2022,85.03,173850,43931
11/1/2022,83.35,173025,33851
10/31/2022,82.76,23853,23802
10/28/2022,83.27,24409,23694
10/27/2022,84.5,24949,23536
10/26/2022,83.7,25156,23331
10/25/2022,82.25,24969,23073
10/24/2022,81.35,25107,22824
10/21/2022,81.21,25002,22565
10/20/2022,80.81,24944,22528
10/19/2022,81.4,23700,22554
10/18/2022,80.38,22466,22663
10/17/2022,80.75,22384,22857
10/14/2022,80.33,22547,23043
10/13/2022,82.39,22606,23218
10/12/2022,80.75,22641,23399
10/11/2022,82.06,22296,23471
10/10/2022,83.83,22237,23543
10/7/2022,85.01,22035,23596
10/6/2022,82.93,21881,23665
10/5/2022,81.88,21275,23753
10/4/2022,80.02,21234,23891
10/3/2022,77.66,21226,24033
9/30/2022,75.67,24447,24183
9/29/2022,77.27,25333,24142
9/28/2022,78.17,25342,24040
9/27/2022,75.83,25373,23942
9/26/2022,74.98,25171,23845
9/23/2022,76.87,25170,23743
9/22/2022,80.4,25324,23648
9/21/2022,79.68,23722,23601
9/20/2022,80.22,23381,24533
9/19/2022,81.59,23025,25254
9/16/2022,81.24,23078,26000
9/15/2022,81.23,23194,26723
9/14/2022,84.47,23341,27443
9/13/2022,84.06,23375,28119
9/12/2022,84.72,23475,28821
9/9/2022,83.58,23826,29566
9/8/2022,80.85,23802,30254
9/7/2022,80.37,23869,30964
9/6/2022,84.03,23915,31660
9/5/2022,84.96,23651,32366
9/2/2022,83.81,23738,33103
9/1/2022,83.75,24623,33861
8/31/2022,86.65,37704,34640
8/30/2022,87.63,34195,34483
8/29/2022,90.59,34221,34473
8/26/2022,88.67,33919,34529
8/25/2022,88.94,33989,34575
8/24/2022,90.74,33478,34609
8/23/2022,90.47,33915,34639
8/22/2022,88.48,34643,34646
8/19/2022,88.64,34152,34500
8/18/2022,88.06,34446,33798
8/17/2022,86.93,34306,33029
8/16/2022,86.18,34514,32260
8/15/2022,87.73,34708,31430
8/12/2022,89.31,35096,30550
8/11/2022,90.39,36307,29664
8/10/2022,89.13,35363,28651
8/9/2022,87.61,34043,27636
8/8/2022,87.88,35059,26694
8/5/2022,85.8,34610,25658
8/4/2022,85.51,34495,24621
8/3/2022,88.18,33934,23585
8/2/2022,90.28,34020,22590
8/1/2022,89.08,32441,21560
7/29/2022,91.87,23631,20618
7/28/2022,90.29,22904,20261
7/27/2022,90.72,22768,19941
7/26/2022,88.53,22074,19604
7/25/2022,88.74,21503,19298
7/22/2022,86.88,21810,19001
7/21/2022,87.76,21109,18697
7/20/2022,89.34,20138,18835
7/19/2022,89.23,19920,19038
7/18/2022,88.79,19515,19251
7/15/2022,85.34,19060,19395
7/14/2022,84.19,18950,19524
7/13/2022,85.67,19013,19645
7/12/2022,85.06,18570,19770
7/11/2022,90.15,18303,19919
7/8/2022,89.02,18271,20082
7/7/2022,86.94,18111,20253
7/6/2022,84.22,17713,20404
7/5/2022,84.76,17491,20554
7/4/2022,93.46,17039,20728
7/1/2022,92.19,17247,20926
6/30/2022,92.07,23184,21113
6/29/2022,95.57,23186,20916
6/28/2022,97.13,23106,20757
6/27/2022,94.57,21678,20576
6/24/2022,93.16,21005,20474
6/23/2022,91.37,20761,20417
6/22/2022,94.57,20887,20407
6/21/2022,96.68,20800,20385
6/20/2022,96.96,20757,25032
6/17/2022,96.19,20835,29757
6/16/2022,100.92,20372,34476
6/15/2022,99.77,19969,39329
6/14/2022,101.1,20100,44127
6/13/2022,102.53,19997,48943
6/10/2022,102.34,20059,53740
6/9/2022,103.57,20233,58545
6/8/2022,103.26,20792,63327
6/7/2022,101.25,20393,68028
6/6/2022,99.38,20146,72603
6/3/2022,99.37,20159,77134
6/2/2022,98.18,20611,81629
6/1/2022,96.77,20558,86097
5/31/2022,97,90505,90538
5/30/2022,98.47,91621,90328
5/27/2022,97.67,91618,90110
5/26/2022,97.13,93171,89880
5/25/2022,95.49,91949,89588
5/24/2022,94.89,92333,89380
5/23/2022,94.49,91947,89151
5/20/2022,93.51,92134,88890
5/19/2022,93.84,91974,84027
5/18/2022,91.94,91300,79190
5/17/2022,94.19,89013,74377
5/16/2022,95.43,88119,69703
5/13/2022,94.86,87576,65075
5/12/2022,93.05,87637,60474
5/11/2022,93.61,87169,55868
5/10/2022,89.7,87361,51288
5/9/2022,91.48,88349,46603
5/6/2022,95.39,88161,41862
5/5/2022,94.35,88799,37136
5/4/2022,94.16,88834,32366
5/3/2022,90.83,88897,27592
5/2/2022,91.65,88026,22810
4/29/2022,91.83,19191,18093
4/28/2022,92.6,19423,17971
4/27/2022,92.16,19095,17876
4/26/2022,92.06,18909,17826
4/25/2022,91.03,18698,17805
4/22/2022,93.24,18564,17809
4/21/2022,95.4,18540,17669
4/20/2022,94.03,18472,17453
4/19/2022,93.41,17087,17250
4/18/2022,97.66,17228,17151
4/14/2022,97.74,17281,17042
4/13/2022,97.2,17248,16908
4/12/2022,95.09,17218,16784
4/11/2022,92.06,17167,16677
4/8/2022,93.9,17273,16571
4/7/2022,92.6,17356,16459
4/6/2022,91.99,18003,16327
4/5/2022,94.64,18342,16137
4/4/2022,95.48,18596,15909
4/1/2022,93.05,18758,15668
3/31/2022,91.78,16460,15401
3/30/2022,93.56,15300,15273
3/29/2022,90.74,15430,15223
3/28/2022,90.64,15600,15243
3/25/2022,94.96,15598,15222
3/24/2022,93.7,15267,15204
3/23/2022,95.76,15395,15200
3/22/2022,93.37,15606,15189
3/21/2022,93.69,15586,15176
3/18/2022,90.4,15594,15919
3/17/2022,89.35,15367,16654
3/16/2022,84.54,15149,17377
3/15/2022,86.34,14932,18199
3/14/2022,88.11,14982,19020
3/11/2022,91.68,14742,19777
3/10/2022,88.35,14545,20543
3/9/2022,87.61,14550,21301
3/8/2022,98.22,15729,22106
3/7/2022,98.14,15294,22822
3/4/2022,96.44,15325,23538
3/3/2022,89.84,15208,24257
3/2/2022,89.45,15222,24883
3/1/2022,85.58,15417,25514
2/28/2022,84.47,26723,26170
2/25/2022,83.24,26623,26085
2/24/2022,84.21,26217,26026
2/23/2022,84.72,27473,26015
2/22/2022,83.91,27250,25948
2/21/2022,83.64,26337,25883
2/18/2022,82.46,26230,26462
2/17/2022,81.79,25920,27088
2/16/2022,82.54,26619,27716
2/15/2022,81.65,26472,28331
2/14/2022,84.28,26038,28929
2/11/2022,83.56,26102,29555
2/10/2022,82.24,24602,30131
2/9/2022,82.29,24689,30803
2/8/2022,81.27,25249,31490
2/7/2022,82.56,25451,32105
2/4/2022,82.42,25742,32649
2/3/2022,81.34,26052,33121
2/2/2022,80.14,26461,33646
2/1/2022,79.72,26278,34090
1/31/2022,80.32,35026,34458
1/28/2022,79.82,35622,34237
1/27/2022,79.92,35343,33946
1/26/2022,80.62,35831,33659
1/25/2022,79.74,35453,33330
1/24/2022,78.48,35419,32999
1/21/2022,79.76,34750,32575
1/20/2022,80.27,34674,32168
1/19/2022,79.9,35006,31739
1/18/2022,79.42,34464,31305
1/17/2022,78.63,33618,30904
1/14/2022,78.26,32819,30557
1/13/2022,77.15,33924,30256
1/12/2022,77.3,33116,29878
1/11/2022,76.8,31810,29551
1/10/2022,74.73,31711,29328
1/7/2022,75.27,31256,29074
1/6/2022,75.43,31027,28738
1/5/2022,74.77,30907,28373
1/4/2022,74.66,30490,27988
1/3/2022,73.68,29046,27610
12/31/2021,72.45,28650,27341
12/30/2021,74.48,28241,27096
12/29/2021,74.14,28497,26884
12/28/2021,73.54,28441,26648
12/27/2021,73.14,28419,26439
12/24/2021,70.59,28302,26209
12/23/2021,71.74,28260,25974
12/22/2021,70.73,28212,25707
12/21/2021,70.14,28464,25377
12/20/2021,68.16,27894,37374
12/17/2021,69.65,26219,49215
12/16/2021,71.03,25546,60969
12/15/2021,70.41,25133,72437
12/14/2021,70.64,24830,83958
12/13/2021,71.14,25014,95541
12/10/2021,71.51,24961,106972
